id_slug,tipo,ciclo_siglas,titulo,descripcion,entidad,modalidad,localidad,provincia,fecha_inicio,fecha_fin,estado,coste,certificacion,practicas,fuente_url,tags,prioridad,encaje_1_5,accion_sugerida,ultima_revision,notas
mp_hubspot_social_media,curso_complementario,MP,Certificación de marketing en redes sociales,"Curso práctico para crear una estrategia social, ampliar alcance y medir retorno y rendimiento.",HubSpot Academy,online autodirigida,Online,Online,,,activo,gratuito,certificación propia,no,https://academy.hubspot.com/courses/social-media,social_media|estrategia|roi|certificacion,Media,5,Crear una estrategia completa para una pyme y anexar la certificación al perfil profesional.,2026-08-04,Curso reconocido por el sector.
mp_hubspot_publicidad_digital,curso_complementario,MP,Certificación de publicidad digital,"Curso para planificar medios pagados, segmentar audiencias y optimizar rutas de conversión.",HubSpot Academy,online autodirigida,Online,Online,,,activo,gratuito,certificación propia,no,https://academy.hubspot.com/courses/digital-advertising,publicidad_digital|paid_media|conversion|segmentacion,Media,5,"Completar la formación y entregar un media plan con presupuesto, canales y criterios de optimización.",2026-08-04,Conviene complementarlo con práctica en plataformas publicitarias.
mp_meta_blueprint_publicidad,curso_complementario,MP,Meta Blueprint: publicidad en Facebook e Instagram,"Rutas oficiales para aprender configuración, creatividades, públicos, objetivos y medición en tecnologías de Meta.",Meta Blueprint,online autodirigida,Online,Online,,,activo,gratuito; examen de certificación a revisar,certificación oficial de pago opcional,no,https://www.facebook.com/business/learn/courses/advertising,meta_ads|instagram|facebook|paid_social,Media,5,Completar la ruta inicial y crear una campaña simulada con tres variantes de anuncio.,2026-08-04,La formación es gratuita; los exámenes oficiales pueden tener coste.
mp_herramienta_google_trends,herramienta,MP,Google Trends,"Herramienta para comparar interés de búsqueda, estacionalidad, territorios y consultas relacionadas.",Google,online,Online,Online,,,activo,gratuito,no,no,https://trends.google.com/trends/?geo=ES&hl=es,tendencias|investigacion_mercados|seo|demanda,Alta,5,Comparar cinco términos de un sector y convertir los resultados en una recomendación de contenido.,2026-08-04,Los datos son relativos y deben interpretarse con cautela.
mp_herramienta_google_analytics,herramienta,MP,Google Analytics,"Plataforma para medir adquisición, comportamiento, conversiones y recorrido de usuarios en web y aplicaciones.",Google,online,Online,Online,,,activo,gratuito con opciones avanzadas,no,no,https://marketingplatform.google.com/intl/es/about/analytics/,analytics|conversiones|audiencias|medicion,Alta,5,Configurar una propiedad de prueba o usar una demo y crear un informe de adquisición y conversión.,2026-08-04,"Requiere respetar consentimiento, privacidad y configuración de datos."
mp_herramienta_search_console,herramienta,MP,Google Search Console,"Herramienta para medir tráfico orgánico, consultas, páginas, indexación y problemas de visibilidad en Google.",Google,online,Online,Online,,,activo,gratuito,no,no,https://search.google.com/search-console/about,seo|busqueda_organica|rendimiento|indexacion,Media,5,Verificar un sitio propio y crear una lista de consultas y páginas con oportunidad de mejora.,2026-08-04,Solo muestra datos de propiedades verificadas.
mp_herramienta_looker_studio,herramienta,MP,Looker Studio,Herramienta sin coste para transformar datos de marketing en informes y paneles compartibles.,Google Cloud,online,Online,Online,,,activo,gratuito con versión Pro opcional,no,no,https://lookerstudio.google.com/about,dashboard|reporting|kpi|visualizacion,Alta,5,"Crear un dashboard con tráfico, leads, conversiones, coste y retorno de una campaña ficticia.",2026-08-04,Algunos conectores de terceros pueden requerir pago.
mp_herramienta_google_forms,herramienta,MP,Formularios de Google,"Herramienta para crear encuestas, formularios de investigación y recogida estructurada de respuestas.",Google Workspace,online,Online,Online,,,activo,gratuito con cuenta de Google,no,no,https://workspace.google.com/intl/es/products/forms/,encuestas|investigacion_mercados|formularios|datos,Media,4,Diseñar una encuesta de máximo diez preguntas y obtener al menos veinte respuestas de prueba.,2026-08-04,Evitar recopilar datos sensibles y explicar la finalidad de la encuesta.
mp_herramienta_meta_business_suite,herramienta,MP,Meta Business Suite,"Entorno para gestionar contenidos, mensajes, estadísticas y activos de Facebook e Instagram.",Meta,online y app,Online,Online,,,activo,gratuito,no,no,https://business.facebook.com/,facebook|instagram|programacion|analitica,Media,5,Conectar una página de prueba y programar una semana de contenidos con métricas objetivo.,2026-08-04,Requiere cuenta y permisos sobre activos empresariales.
mp_herramienta_canva,herramienta,MP,Canva,"Plataforma de diseño para crear creatividades, presentaciones, piezas sociales y materiales de campaña.",Canva,online y app,Online,Online,,,activo,gratuito con plan limitado,no,no,https://www.canva.com/es_es/,diseño|creatividades|branding|redes_sociales,Media,5,"Crear un mini sistema visual de marca con plantilla de post, historia, banner y presentación.",2026-08-04,"Comprobar licencias de plantillas, recursos e imágenes antes de publicar."
mp_herramienta_mailchimp,herramienta,MP,Mailchimp,"Plataforma de email marketing, automatización, formularios, segmentación y análisis de campañas.",Intuit Mailchimp,online,Online,Online,,,activo,gratuito limitado y planes de pago,no,no,https://mailchimp.com/es/,email_marketing|automatizacion|segmentacion|newsletter,Media,5,"Crear una lista de prueba, una plantilla y una secuencia de bienvenida sin enviar a contactos reales.",2026-08-04,Revisar límites del plan y obligaciones de consentimiento y baja.
mp_herramienta_hubspot_crm,herramienta,MP,HubSpot CRM,"CRM gratuito para organizar contactos, oportunidades, formularios, actividades y reporting comercial.",HubSpot,online,Online,Online,,,activo,gratuito con funciones prémium opcionales,no,no,https://www.hubspot.es/products/crm,crm|leads|pipeline|inbound,Media,5,Crear un pipeline ficticio y registrar el recorrido de diez leads desde captación hasta cierre.,2026-08-04,No introducir datos personales reales sin base legal y autorización.
mp_herramienta_metricool,herramienta,MP,Metricool,"Herramienta española para planificar contenidos, analizar redes, generar informes y gestionar campañas.",Metricool,online y app,Online,Online,,,activo,gratuito limitado y planes de pago,no,no,https://metricool.com/es/,social_media|planificacion|reporting|competencia,Media,5,Configurar un proyecto de prueba y generar un informe mensual con conclusiones accionables.,2026-08-04,Las funciones disponibles dependen del plan.
mp_sae_busqueda_empleo,empleo_busqueda,MP,Servicio Andaluz de Empleo,"Portal autonómico para buscar ofertas, gestionar la demanda y acceder a orientación profesional.",Servicio Andaluz de Empleo,búsqueda,Andalucía,Andalucía,,,activo,gratuito,no,posible,https://www.juntadeandalucia.es/organismos/empleoempresaytrabajoautonomo/areas/empleo/buscar.html,empleo|sae|marketing|andalucia,Alta,5,"Guardar búsquedas con marketing, comunicación, redes sociales, técnico comercial y publicidad en Granada.",2026-08-04,Las ofertas cambian continuamente.
mp_portal_empleate_sepe,empleo_busqueda,MP,Portal Empléate,Portal público nacional para localizar ofertas y analizar ocupaciones por territorio.,SEPE,búsqueda,Online,Online,,,activo,gratuito,no,posible,https://empleate.gob.es/empleo/index_nojs.html?JAVASCRIPTSTATUS=NONE,empleo|sepe|marketing_junior|comunicacion,Media,4,"Crear alertas para asistente de marketing, community manager, técnico de publicidad y comercial.",2026-08-04,"Revisar empresa, contrato y requisitos antes de postular."
mp_camara_granada_ofertas_empleo,empleo_busqueda,MP,Ofertas de empleo de Cámara Granada,Canal local para consultar oportunidades publicadas por empresas vinculadas a la Cámara.,Cámara de Comercio de Granada,búsqueda,Granada,Granada,,,activo,gratuito,no,posible,https://www.camaragranada.org/subseccion/empleo-y-emprendimiento/ofertas-de-empleo,empleo_local|marketing|camara_granada|empresa,Alta,5,Filtrar semanalmente por estudios y profesiones afines y adaptar el portfolio a cada oferta.,2026-08-04,La disponibilidad depende de las ofertas activas.
mp_fundacion_sepi_becas_fp_2026,beca,MP,Becas Fundación SEPI para FP Superior,Formulario de admisión 2026 que incluye expresamente Técnico Superior en Marketing y Publicidad.,Fundación SEPI,online,Online,Online,,,abierto,remunerado según programa,no,sí,https://www.fundacionsepi.es/portal-admisiones-de-becas-2026/formulario-becas-fp/,becas|fp_superior|marketing|practicas,Alta,5,"Revisar programas disponibles, preparar expediente y completar el formulario antes del plazo aplicable.",2026-08-04,Comprobar las bases y la fecha límite de cada programa; la portada de Fundación SEPI muestra convocatorias con cierre en septiembre de 2026.
mp_talento_joven_camara_granada,convocatoria_practicas,MP,Programa Talento Joven,Itinerarios gratuitos de formación e inserción para jóvenes inscritos en Garantía Juvenil.,Cámara de Comercio de Granada,presencial y orientación,Granada,Granada,,,pendiente_convocatoria,gratuito,según itinerario,posible,https://www.camaragranada.org/subservicio/subvenciones-y-programas/apoyo-al-empleo/talento-joven,garantia_juvenil|empleabilidad|jovenes|granada,Media,4,"Comprobar requisitos y solicitar información sobre próximos itinerarios de marketing, comercio, atención o contenidos.",2026-08-04,Fecha pendiente de convocatoria para un itinerario específico de Marketing y Publicidad.
mp_fp_dual_angel_ganivet,convocatoria_practicas,MP,Marketing y Publicidad en modalidad dual,Modalidad de mañana que combina formación en el IES Ángel Ganivet con aprendizaje en empresas colaboradoras.,IES Ángel Ganivet,presencial dual,Granada,Granada,,,activo,público,título oficial,sí,https://blogsaverroes.juntadeandalucia.es/ganivetcomercioymarketing/oferta-dual/,fp_dual|empresa|marketing|granada,Alta,5,"Preguntar al centro por empresas, criterios de asignación y competencias que debe preparar antes de incorporarse.",2026-08-04,Las empresas y el calendario dependen del proyecto formativo del curso 2026/2027.
mp_eures_empleo_marketing,empleo_busqueda,MP,EURES para empleo y prácticas en Europa,"Red pública europea con empleo, orientación, información de movilidad y acceso a oportunidades en otros países.",EURES - European Employment Services,búsqueda,Europa,Online,,,activo,gratuito,no,posible,https://eures.europa.eu/jobseekers_en,eures|europa|marketing|movilidad,Media,4,"Crear perfil Europass y buscar puestos junior de marketing, publicidad, contenidos y atención comercial.",2026-08-04,"Revisar idioma, contrato, condiciones de movilidad y reconocimiento de títulos."
mp_eures_movilidad_tms,beca,MP,EURES Targeted Mobility Scheme,"Apoyo para buscar empleo, prácticas o aprendizaje en otro país europeo, con posibles ayudas de viaje, idioma y traslado.",EURES - European Employment Services,movilidad europea,Europa,Online,,,activo,subvencionado según proyecto,no,sí,https://eures.europa.eu/eures-services/eures-targeted-mobility-scheme-tms_en,movilidad|practicas|empleo|europa,Baja,4,Consultar proyectos activos y pedir orientación antes de aceptar una oportunidad fuera de España.,2026-08-04,Las ayudas y condiciones dependen del proyecto TMS y del país.
mp_technology_for_marketing_madrid_2026,evento,MP,Technology for Marketing Madrid 2026,"Feria profesional de MarTech, marketing digital, ecommerce y tecnología aplicada al negocio.",Tech Show Madrid,presencial,Madrid,Madrid,2026-11-04,2026-11-05,abierto,a revisar,no,no,https://www.techshowmadrid.es/technology-for-marketing,martech|marketing_digital|ecommerce|networking,Alta,5,"Revisar agenda y expositores, solicitar entrada y preparar cinco empresas a las que presentar el portfolio.",2026-08-04,Evento confirmado; revisar tipo de acreditación y condiciones de acceso.
mp_jornadas_publicidad_exterior_granada_2026,evento,MP,XXXIII Jornadas de Publicidad Exterior,"Encuentro profesional celebrado en Granada sobre creatividad, medios exteriores, medición y evolución del sector.",La FEDE,presencial,Granada,Granada,2026-05-06,2026-05-08,historico_util,privado,no,no,https://www.lafede.es/jornada-publicidad-exterior-2026/,publicidad_exterior|medios|creatividad|granada,Media,5,"Revisar el programa, localizar ponentes y convertir una campaña exterior analizada en una pieza de portfolio.",2026-08-04,"Edición clausurada. Sigue siendo útil por el programa, casos profesionales y contactos del sector publicitario."
mp_alhambra_venture_2026,evento,MP,Alhambra Venture 2026,"Encuentro de startups, inversores y empresas en Granada con oportunidades para observar pitches, modelos de negocio y comunicación.",Alhambra Venture,presencial,Granada,Granada,2026-07-08,2026-07-10,historico_util,a revisar,no,no,https://alhambraventure.com/,startups|pitch|branding|granada,Media,4,Analizar tres startups participantes y preparar una propuesta de posicionamiento o campaña para una de ellas.,2026-08-04,"Edición finalizada. Sigue siendo útil para estudiar pitches, propuestas de valor y el ecosistema empresarial granadino."
mp_des_malaga_2026,evento,MP,DES Digital Enterprise Show 2026,"Evento tecnológico en Málaga con contenidos de IA, datos, retail, ecommerce, marketing y transformación empresarial.",Digital Enterprise Show,presencial,Málaga,Málaga,2026-06-09,2026-06-11,historico_util,privado o invitación,no,no,https://www.des-show.com/es/,innovacion|retail_tech|marketing|malaga,Baja,4,Revisar ponencias y expositores para identificar herramientas y perfiles de empleo vinculados al marketing digital.,2026-08-04,"Edición finalizada. Sigue siendo útil por sus casos de transformación, retail y marketing basado en datos."
mp_andalucia_emprende_eventos,evento,MP,Agenda de Andalucía Emprende,"Agenda autonómica de talleres, encuentros y jornadas sobre empresa, ventas, marketing, financiación y emprendimiento.",Andalucía Emprende,presencial y online,Andalucía,Andalucía,,,activo,generalmente gratuito; revisar evento,según evento,no,https://www.andaluciaemprende.es/encuentros/,agenda|emprendimiento|marketing|andalucia,Media,4,"Filtrar por Granada y reservar una actividad relacionada con comunicación, ventas o validación de mercado.",2026-08-04,Las fechas y condiciones dependen de cada evento.
mp_club_marketing_granada,comunidad,MP,Club de Marketing de Granada,"Asociación local sin ánimo de lucro para profesionales y empresas del marketing, con noticias, iniciativas y networking.",Club de Marketing de Granada,presencial y online,Granada,Granada,,,activo,consulta gratuita; asociación a revisar,no,no,https://clubmarketinggranada.org/,comunidad|networking|marketing|granada,Alta,5,Seguir sus actividades y asistir al próximo encuentro con una presentación breve y portfolio preparado.,2026-08-04,Consultar condiciones de asistencia y asociación.
mp_aje_granada_comunidad,comunidad,MP,AJE Granada,"Red de jóvenes empresarios con actividades, premios, contactos y oportunidades para conocer necesidades reales de pymes.",Asociación de Jóvenes Empresarios de Granada,presencial y online,Granada,Granada,,,activo,consulta gratuita; asociación a revisar,no,no,https://ajeandalucia.org/granada/,emprendimiento|pymes|networking|granada,Media,4,Seleccionar tres empresas asociadas y preparar una propuesta de mejora de presencia digital para practicar.,2026-08-04,Algunas actividades pueden estar reservadas a socios.
mp_la_fede_comunidad,comunidad,MP,La FEDE,"Asociación de empresas de comunicación, publicidad y marketing con noticias, jornadas y referencias del sector.",La FEDE,online y presencial,España,Online,,,activo,consulta gratuita; asociación privada,no,no,https://www.lafede.es/,publicidad|agencias|comunicacion|sector,Baja,4,"Seguir noticias y estudiar los perfiles, servicios y campañas de empresas asociadas.",2026-08-04,La afiliación profesional puede tener condiciones y coste.
mp_fuente_iab_spain,fuente_noticias,MP,IAB Spain,"Asociación de referencia en publicidad, marketing y comunicación digital con estudios, noticias y eventos.",IAB Spain,online,España,Online,,,activo,gratuito para consulta,no,no,https://iabspain.es/home/,iab|marketing_digital|publicidad|informes,Alta,5,Leer un informe al mes y extraer cinco datos aplicables a una campaña o presentación.,2026-08-04,Algunos informes completos pueden requerir registro o acceso asociado.
mp_fuente_asociacion_marketing_espana,fuente_noticias,MP,Asociación de Marketing de España,"Noticias, estudios, eventos y análisis de profesionales y empresas del marketing en España.",Asociación de Marketing de España,online,España,Online,,,activo,gratuito para consulta,no,no,https://www.asociacionmkt.es/,marketing|profesionales|eventos|estudios,Media,4,Seguir actualidad y elegir mensualmente una tendencia para convertirla en una publicación profesional.,2026-08-04,Algunos servicios y eventos pueden estar vinculados a la condición de socio.
mp_fuente_infoadex,fuente_noticias,MP,InfoAdex,"Fuente especializada en inversión publicitaria, evolución de medios, sectores y anunciantes en España.",InfoAdex,online,España,Online,,,activo,consulta parcial gratuita,no,no,https://www.infoadex.es/es/reports,inversion_publicitaria|medios|datos|espana,Alta,5,Usar el resumen 2026 para justificar el reparto de medios de un plan de campaña.,2026-08-04,Parte de la información detallada puede ser comercial.
mp_fuente_aimc,fuente_noticias,MP,AIMC,"Fuente profesional sobre audiencias, consumo de medios y estudios como el Estudio General de Medios.",Asociación para la Investigación de Medios de Comunicación,online,España,Online,,,activo,consulta parcial gratuita,no,no,https://www.aimc.es/,audiencias|medios|egm|investigacion,Media,5,"Consultar datos de audiencia antes de recomendar radio, prensa, internet, exterior o televisión.",2026-08-04,Algunos informes completos están limitados a asociados.
mp_fuente_ontsi_ecommerce,fuente_noticias,MP,ONTSI: comercio electrónico,"Informes e indicadores oficiales sobre compra online, empresas digitales y comercio electrónico en España.",Observatorio Nacional de Tecnología y Sociedad,online,España,Online,,,activo,gratuito,no,no,https://www.ontsi.es/es/publicaciones/indicadores-de-comercio-electronico,ecommerce|datos|economia_digital|informes,Media,4,Descargar un informe y convertir dos indicadores en gráficos con una conclusión de negocio.,2026-08-04,Comprobar año y periodo de referencia de cada dato.
mp_fuente_google_trends,fuente_noticias,MP,Tendencias actuales de Google,Panel para detectar búsquedas emergentes y cambios de interés en España.,Google,online,Online,Online,,,activo,gratuito,no,no,https://trends.google.es/trending,tendencias|contenidos|busquedas|actualidad,Media,4,Revisar semanalmente y decidir si alguna tendencia encaja de forma legítima con una marca o sector.,2026-08-04,No usar tendencias sin relación real con la marca ni interpretar volumen relativo como ventas.
mp_fuente_club_marketing_granada,fuente_noticias,MP,Noticias del Club de Marketing de Granada,"Fuente local sobre iniciativas, encuentros y actividad profesional del marketing granadino.",Club de Marketing de Granada,online,Granada,Granada,,,activo,gratuito,no,no,https://clubmarketinggranada.org/,marketing_local|eventos|granada|networking,Baja,4,"Revisar novedades para localizar ponentes, agencias y empresas a las que seguir o contactar.",2026-08-04,La frecuencia de publicación puede variar.
mp_evidencia_plan_marketing_integrado,evidencia_recomendada,MP,Plan de marketing integrado,"Documento con análisis, segmentación, posicionamiento, objetivos, canales, presupuesto, calendario y KPI.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito,no,no,https://academy.hubspot.com/courses/digital-marketing,plan_marketing|estrategia|kpi|portfolio,Alta,5,Elegir una pyme real con información pública y elaborar un plan de máximo quince páginas con anexos.,2026-08-04,"Separar hechos, hipótesis y recomendaciones; no revelar información privada."
mp_evidencia_investigacion_mercado,evidencia_recomendada,MP,Investigación de mercado con encuesta,"Proyecto con objetivo, hipótesis, muestra, cuestionario, análisis de respuestas y conclusiones accionables.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito,no,no,https://workspace.google.com/intl/es/products/forms/,investigacion_mercados|encuesta|datos|insights,Alta,5,"Recoger al menos veinte respuestas de prueba y presentar limitaciones, gráficos y decisiones recomendadas.",2026-08-04,Solicitar consentimiento y no recopilar datos sensibles.
mp_evidencia_campana_google_ads,evidencia_recomendada,MP,Campaña simulada de Google Ads,"Caso con palabras clave, estructura, anuncios, extensiones, presupuesto, conversiones y criterios de optimización.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito sin activar campaña,no,no,https://skillshop.withgoogle.com/googleads,google_ads|sem|copy|conversion,Alta,5,"Crear la campaña sin publicarla y presentar capturas, previsiones y razonamiento de cada decisión.",2026-08-04,No activar gasto real; indicar claramente que es una simulación.
mp_evidencia_campana_social_ads,evidencia_recomendada,MP,Campaña de Meta Ads con variantes creativas,"Caso con objetivo, públicos, ubicaciones, mensajes, tres creatividades, presupuesto y plan de test A/B.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito sin activar campaña,no,no,https://www.facebook.com/business/learn/courses/advertising,meta_ads|creatividad|segmentacion|ab_test,Media,5,Diseñar la campaña y justificar qué variable probaría primero y cómo decidiría una ganadora.,2026-08-04,No activar inversión ni utilizar públicos con datos personales.
mp_evidencia_dashboard_marketing,evidencia_recomendada,MP,Dashboard de rendimiento de marketing,"Panel con alcance, tráfico, leads, conversión, coste, retorno y comparación contra objetivos.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito,no,no,https://lookerstudio.google.com/about,dashboard|kpi|roi|reporting,Alta,5,Construirlo con datos ficticios o abiertos y acompañarlo de cinco conclusiones y próximas acciones.,2026-08-04,"Indicar origen, periodo y definición de cada KPI."
mp_evidencia_calendario_contenidos,evidencia_recomendada,MP,Calendario editorial multicanal,"Plan de cuatro semanas con objetivos, pilares, formatos, copies, llamadas a la acción y métricas.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito,no,no,https://metricool.com/es/,contenido|social_media|copywriting|planificacion,Media,4,"Crear el calendario para una marca y producir al menos seis piezas finales, no solo ideas.",2026-08-04,Usar recursos propios o con licencia compatible.
mp_evidencia_campana_email,evidencia_recomendada,MP,Secuencia de email marketing,"Flujo con captación, bienvenida, nutrición, segmentación, asunto, contenido, CTA y medición.",Proyecto propio,proyecto,Online,Online,,,activo,gratuito con plan limitado,no,no,https://mailchimp.com/es/,email_marketing|automatizacion|copy|conversion,Media,5,Crear tres correos y una lógica de automatización en una audiencia de prueba.,2026-08-04,No enviar a contactos reales sin consentimiento y mecanismo de baja.
mp_ies_angel_ganivet,instituto,MP,IES Ángel Ganivet,"Centro público de Granada con Marketing y Publicidad en mañana dual, tarde y modalidad semipresencial.",IES Ángel Ganivet,"presencial, dual y semipresencial",Granada,Granada,,,activo,público,título oficial,sí,https://blogsaverroes.juntadeandalucia.es/ganivetcomercioymarketing/marketing-y-publicidad/,centro_fp|marketing_publicidad|dual|granada,Alta,5,"Consultar turno, modalidad, plazas, empresas colaboradoras y condiciones de admisión de 2026/2027.",2026-08-04,Confirmar directamente con el centro que todos los turnos y modalidades se mantienen.
mp_camara_comercio_granada,instituto,MP,Cámara de Comercio de Granada,"Entidad local con formación, empleo, emprendimiento, eventos y contacto directo con empresas de la provincia.",Cámara de Comercio de Granada,presencial y online,Granada,Granada,,,activo,según programa,según programa,posible,https://www.camaragranada.org/,camara|formacion|empleo|granada,Alta,5,"Suscribirse a novedades y revisar cada semana cursos, empleo y eventos de marketing y comunicación.",2026-08-04,Requisitos y costes varían según la actividad.
